postal_code,dist_to_cbd_m
543273,12067.5
543272,12012.5
543186,13400.3
792404,11740.6
543301,12341.8
540125,12902.9
542309,12431.6
540132,13027.4
540230,12780.6
544123,12664.2
541306,12409.7
542192,13428.5
542315,12612.0
540127,13019.1
791407,11803.2
540232,12956.2
541302,12252.2
543317,12740.6
543206,12460.7
792409,11956.8
543258,13094.7
543201,12364.2
542321,12618.8
542322,12662.1
544200,12275.5
541321,12530.0
541258,13033.2
544262,13076.1
791430,12471.1
791452,12339.6
541326,12873.0
791435,12357.8
792434,12495.6
542312,12452.2
544314,12565.5
541119,12451.1
544203,12376.8
531008,7661.8
550108,9693.6
550105,9711.9
550214,8426.4
550104,9770.4
531001,7810.0
550263,8005.4
550111,9591.2
550118,9443.3
550529,10039.4
550512,9989.4
550140,9643.4
550222,8487.8
550136,9611.8
550308,7870.8
550215,8496.6
550208,8104.2
550334,7571.6
550236,7981.4
550421,7579.3
550411,7518.4
550500,10337.6
550546,10207.3
550548,10028.1
550256,8121.5
550408,7362.1
550329,7460.0
550539,10256.5
550542,10165.9
550123,9402.9
550424,7537.9
551236,7936.1
521499,14247.4
521515,12572.1
520417,13471.1
520204,13444.6
520104,12672.0
520275,13075.8
520287,13492.6
520814,11753.5
520215,13734.2
520295,13667.5
520277,13092.4
521109,12874.4
521113,12596.9
520274,13057.7
520826,11631.6
521899,11565.6
520463,14159.4
521897,11645.3
520236,13273.8
520899,11605.4
522489,14494.8
520805,11755.0
520322,13982.1
520458,14069.9
520713,12693.5
520263,13453.1
520278,13090.6
520908,12159.8
520714,12687.5
520153,13559.7
520297,13670.4
520401,13149.1
520162,13841.8
520355,14539.0
520712,12615.1
520280,13168.7
520214,13767.5
522498,14718.7
520851,11994.2
521860,12489.5
521222,13743.8
520113,12729.5
520418,13460.4
527842,12135.7
520496,13912.7
523492,14405.7
520303,13809.8
520216,13653.2
520873,11830.3
520138,13645.2
520385,14243.2
520729,12174.8
521254,13267.4
520363,14509.5
521126,12937.0
521864,12184.5
520232,13502.0
521160,12754.4
520427,13630.4
520426,13582.3
521867,12081.7
310120,6075.5
310161,5136.2
310001,6087.0
310009,5918.7
310085,5737.3
310225,6103.5
310174,5212.1
310112,6342.3
310107,6289.5
310023,5574.6
310051,5893.5
310113,6323.4
310117,6176.9
310206,6415.5
350120,5806.7
310159,5153.4
310207,6438.6
350107,5856.7
350142,5685.8
310214,6348.8
310222,6354.7
350114,5941.8
310256,5327.5
310242,5067.3
310249,5214.9
315079,5551.6
350134,5776.1
350143,5598.8
350104,5857.0
310036,5587.5
311079,5565.1
312139,5830.9
360019,6453.2
360008,6382.5
311014,5770.1
310010,5860.4
310097,5987.7
310144,5686.5
310142,5711.8
310154,5421.9
360021,6391.4
732780,19029.4
730013,19082.6
730131,18852.0
730017,19314.9
730002,19088.8
730130,18812.5
730129,18781.0
730001,19207.2
730317,18311.6
730148,18808.9
730316,18271.9
730161,18588.9
730310,18153.5
730313,18212.2
730319,18219.4
733571,17523.8
734782,18884.6
733886,18108.7
731886,18147.0
730008,19209.5
730027,19445.2
730026,19461.1
730205,19743.9
730428,18029.0
730005,19132.7
730028,19519.1
730334,17922.9
730108,18586.0
730843,18712.4
730177,18467.1
730146,18841.0
730123,18891.1
730348,18144.0
730757,18968.5
730775,19014.6
730704,18311.4
731899,17895.4
730171,18508.8
730575,17301.3
730620,17489.8
730623,17612.6
730761,18918.4
730772,18933.3
731897,17936.5
730779,18903.4
730619,17513.6
730166,18543.0
733787,18609.3
730321,18167.0
730618,17579.1
730579,17317.4
730604,17958.4
730653,17945.2
730425,17977.1
730842,18755.0
730551,17578.9
730707,18292.0
730113,18682.1
730665,18001.6
730410,18149.9
735786,18835.3
736690,18161.1
735787,18570.4
731012,19154.1
730507,17625.4
732897,17888.8
730655,17911.3
730155,18679.4
730713,18386.9
730855,18387.1
730547,17362.0
730369,17933.3
730716,18271.3
730718,18262.8
730104,18510.4
730351,17974.9
731887,18059.2
731782,18806.7
732012,19136.0
732782,18794.6
730009,19236.3
730120,18828.0
731686,18165.4
730606,17877.9
730508,17678.9
730611,17762.3
730178,18508.4
730580,17274.7
730587,17107.7
731764,18818.5
730876,18960.7
730576,17243.5
730629,17474.3
732625,17434.3
730673,18029.6
736688,18301.3
730777,18964.2
730796,18337.2
732624,17566.6
730643,17821.0
730540,17199.9
730406,18264.7
730518,17857.3
730873,18850.2
730521,17748.4
730527,17567.4
733894,18074.7
730512,17957.6
730371,17859.0
730670,18020.6
730869,18619.0
730834,18464.1
730832,18434.7
734681,17996.7
730646,17845.4
730788,18400.2
730122,18871.1
730650,17922.4
730358,18131.0
730328,17974.2
730323,18100.8
730119,18806.1
730404,18372.3
730118,18763.3
730820,18615.7
730818,18665.2
760773,15479.6
760734,16162.2
760284,17217.6
760714,15981.9
760706,16157.4
760345,15940.8
760114,16817.5
760117,16901.9
760160,16477.9
760774,15532.7
760605,15267.3
760394,15968.4
760709,16145.6
760271,16993.6
760739,16202.1
760228,16745.2
760115,16782.8
760740,16243.3
760833,14507.5
760237,16528.6
760137,16463.2
760446,15334.5
760363,15982.3
760442,15375.6
760207,16300.9
760710,16106.8
760742,16185.4
760123,16736.2
760456,15045.9
760459,15110.6
764348,15793.3
761347,15894.7
762348,15826.5
761348,15843.0
760407,15640.0
760433,15090.6
760165,16870.8
760248,16744.4
760244,16559.8
760265,16885.3
760772,15526.3
760776,15388.0
760642,15168.9
760771,15561.1
760166,16915.7
760224,16681.7
760762,15730.6
760121,16732.5
760630,14840.9
760653,15378.5
760170,16999.2
760262,16782.6
760646,15292.4
760357,15665.7
760660,15226.6
760266,16920.6
760131,16585.1
760759,15802.6
760830,14475.8
760603,15310.3
760452,15227.6
760259,16703.5
760140,16383.3
760451,15228.2
760727,15831.4
760853,14665.2
760216,16424.7
760627,14807.8
760150,16315.1
760454,14991.0
760445,15363.8
762428,15223.3
760628,14856.9
760754,15861.6
762316,16439.2
760453,14998.3
760860,14787.7
760855,14739.9
763348,15801.0
760240,16451.3
760346,15969.7
760349,15690.0
760775,15410.9
760174,17032.7
760730,15904.3
760310,16361.5
760332,16156.9
760637,15056.7
760221,16593.6
760865,14407.9
760155,16407.9
760794,15137.3
760788,15219.7
761426,15338.1
760148,16428.5
760799,15046.2
762347,15863.7
760606,15222.5
760836,14626.6
760156,16417.0
560510,9833.6
560170,10027.4
560178,10269.6
560432,9270.8
560180,10289.3
560586,9490.8
560156,10141.4
560201,9356.4
560255,9706.4
560575,9621.6
560442,8984.1
560558,9630.7
560347,9165.1
560163,9984.1
560625,10861.7
560504,9991.4
560502,10088.5
560584,9536.2
560346,9135.1
560230,9446.6
560232,9403.3
560646,10515.1
560328,9088.5
563307,8991.3
560131,9626.4
560541,9908.5
560171,10128.5
561307,9049.9
560354,8787.5
562308,8964.1
560622,10865.2
560642,10403.0
560311,9087.2
562588,9679.9
561596,9730.6
563700,9419.5
561310,8933.4
460113,10610.5
460074,11177.0
460069,10971.0
460503,10417.1
460519,9960.4
460028,10269.9
460535,9635.1
470606,8666.4
461020,9206.0
460522,9845.3
460125,10931.5
460004,10053.0
470609,8569.1
461032,9272.0
460127,10771.1
470143,8825.8
460401,10499.5
460122,10814.8
460425,9972.7
460055,8900.3
460409,10282.2
470136,8784.0
460419,9751.1
460115,10841.6
460217,10314.7
460054,9230.1
460410,10163.1
460554,10076.7
460041,10746.0
460108,10849.2
460006,10201.8
460079,11039.3
470628,9014.9
460512,10210.3
460033,10650.2
460166,11160.8
460513,10194.1
460422,9918.7
470623,9090.4
470714,9892.3
410660,8274.1
460025,9205.7
460180,10995.7
410116,7959.6
461220,10332.6
470601,8380.1
470612,8878.6
470715,9906.7
470769,11175.3
460066,10963.2
470766,11053.0
410670,8284.3
460021,9923.2
460804,9023.4
460011,9433.6
460026,9117.9
460406,10439.4
470145,8723.4
470130,8690.1
464010,10384.0
410633,7860.3
570024,7993.8
570116,6987.3
570307,7428.7
570308,7455.7
570124,6855.7
570113,6942.2
570139,6721.0
570130,6790.5
570309,7504.7
570111,6927.6
570406,8897.4
570265,8226.5
570114,6976.6
570448,8456.5
570246,8469.8
570123,6855.0
570140,6674.7
