school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score,school_tier,total_cca,lat,lon
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,469623,CO-ED SCHOOL,0,0,0,0.63,1.09,0.62,1.45,0.0,21,2,5,2,4,1,4,0,0,0.0142215889092479,Tier 2,16,1.33388930344069,103.932144857355
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6   ,659762,CO-ED SCHOOL,0,0,0,0.56,0.64,0.52,1.79,0.0,33,2,5,0,4,3,4,0,0,0.0113675862931372,Tier 2,16,1.34552849960874,103.756449399351
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73   ,649188,CO-ED SCHOOL,0,0,0,0.54,1.1,0.49,1.53,0.0,29,2,4,0,4,2,5,0,0,-0.0017096340338608,Tier 3,15,1.34718456606375,103.70053420978
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,CO-ED SCHOOL,0,0,0,0.59,0.28,0.47,1.35,0.0,29,2,7,0,6,1,8,0,0,-0.0299565035809823,Tier 3,22,1.37738245231461,103.880805274557
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN   ,237993,CO-ED SCHOOL,0,0,0,0.52,0.59,0.57,1.18,0.0,29,2,4,2,7,3,4,0,0,-0.0429657888941299,Tier 3,20,1.29418347842837,103.836018941571
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50   ,738853,CO-ED SCHOOL,0,0,0,0.56,0.41,0.29,0.99,0.92,26,2,11,0,7,1,6,0,0,-0.0660015837004604,Tier 3,25,1.43658270720199,103.791791282236
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan   ,556742,BOYS' SCHOOL,0,0,0,0.33,0.29,0.71,0.82,1.86,29,2,6,0,11,1,2,1,0,-0.0821587692025275,Tier 3,20,1.34947192653862,103.862561037707
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD   ,534793,GIRLS' SCHOOL,0,0,0,0.34,0.2,0.86,1.07,0.0,21,2,2,1,4,1,3,1,0,-0.1031922815545812,Tier 3,11,1.37330297140128,103.897575728303
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE   ,449149,CO-ED SCHOOL,0,0,0,0.48,0.31,0.07,1.01,0.74,29,2,4,3,7,2,7,1,0,-0.1039254974050189,Tier 3,23,1.30552505910497,103.917463017497
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,CO-ED SCHOOL,0,0,0,0.58,1.03,0.08,1.43,0.0,27,2,7,1,5,1,6,0,0,-0.109973250879992,Tier 3,20,1.42697284512936,103.844240226564
