postal_code,num_unique_hawker_500m,num_unique_hawker_1km,walking_dist_hawker_m
460035,1,3,362.0
460005,1,4,327.0
460034,2,4,522.0
460007,1,4,489.0
460169,0,1,896.0
460156,0,1,1109.0
460159,0,1,1063.0
460166,0,1,928.0
460165,0,1,1031.0
460164,0,2,1099.0
460170,0,1,1002.0
460042,1,2,407.0
460015,1,4,56.0
460041,1,2,455.0
460043,1,2,417.0
460163,0,2,1140.0
460172,0,1,809.0
460044,1,2,465.0
461035,1,3,653.0
461808,0,2,745.0
463808,1,3,660.0
467010,0,4,675.0
460011,0,4,740.0
461043,1,4,604.0
461041,0,4,756.0
410672,0,1,712.0
410668,0,1,835.0
410655,0,1,1086.0
410657,0,1,1029.0
410650,0,1,830.0
410660,0,1,1131.0
410654,0,1,1040.0
410659,0,1,1202.0
410116,0,1,1278.0
410111,0,1,1096.0
410112,0,1,1190.0
410102,0,2,1188.0
410115,0,1,1200.0
460064,1,4,180.0
461051,1,2,280.0
460065,1,4,258.0
460552,2,4,448.0
460413,2,5,413.0
460414,2,4,523.0
460415,2,5,537.0
460516,1,5,329.0
460405,1,6,315.0
460407,1,6,266.0
460406,1,6,272.0
460506,1,4,626.0
460097,1,3,407.0
460098,1,1,455.0
460096,1,1,429.0
460140,2,5,549.0
460118,1,5,333.0
460090,1,3,380.0
470613,1,2,443.0
470101,0,1,939.0
470711,1,2,754.0
470710,1,2,710.0
470715,0,2,935.0
470601,1,1,579.0
470714,0,2,882.0
470607,1,1,364.0
470621,1,2,536.0
470603,1,1,538.0
470112,0,1,753.0
470140,1,1,372.0
470104,0,1,838.0
470605,1,1,411.0
471613,1,2,481.0
470629,1,1,315.0
460014,1,4,215.0
460031,2,5,502.0
460066,0,2,973.0
460020,1,4,308.0
460171,0,1,904.0
460021,1,4,385.0
460019,1,4,242.0
461033,0,3,650.0
461034,1,3,574.0
460804,0,2,1150.0
460805,0,1,1218.0
460026,0,2,927.0
460063,0,1,1126.0
460062,0,1,1202.0
461002,0,2,925.0
461001,0,2,818.0
460051,1,2,702.0
460053,0,2,923.0
460052,0,2,798.0
410670,0,1,844.0
410666,0,1,940.0
410669,0,1,883.0
410651,0,1,904.0
410648,0,1,1151.0
410645,0,1,954.0
410646,0,1,996.0
410658,0,1,1154.0
410656,0,1,1001.0
410653,0,1,956.0
410109,0,2,1069.0
410114,0,1,1293.0
461054,1,3,238.0
461060,1,2,232.0
461061,1,3,215.0
461094,0,1,731.0
470115,0,1,766.0
470130,1,1,348.0
410636,0,0,1253.0
410643,0,1,1058.0
470137,1,1,228.0
470114,0,1,693.0
470725,0,2,783.0
470721,1,2,715.0
470716,0,2,864.0
410644,0,1,1101.0
470145,1,1,406.0
410639,0,0,1280.0
470719,1,2,667.0
410634,0,0,1187.0
410640,0,0,1223.0
410633,0,0,1133.0
