School_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,CONCERT BAND
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,MUSICAL THEATRE
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,na
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,CYBERACE
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),MALAY DANCE,VISUAL AND PERFORMING ARTS,MALAY DANCE
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,CONTEMPORARY DANCE
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,NATIONAL CADET CORPS
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,NETBALL
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),ST JOHN BRIGADE,UNIFORMED GROUPS,ST JOHN BRIGADE
BOON LAY SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,STUDENT LEADERSHIP
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,BOWEN ARTISTS
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),BOYS' BRIGADE,UNIFORMED GROUPS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),INDIAN DANCE,VISUAL AND PERFORMING ARTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,AIMS CLUB
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),MALAY DANCE,VISUAL AND PERFORMING ARTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),MARCHING BAND,VISUAL AND PERFORMING ARTS,BAND
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),MEDIA RESOURCE LIBRARY,CLUBS AND SOCIETIES,LIBRARY
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (ATHLETICS),PHYSICAL SPORTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),TABLE TENNIS,PHYSICAL SPORTS,na
BOWEN SECONDARY SCHOOL,SECONDARY (S1-S5),TAEKWONDO,PHYSICAL SPORTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),HEALTH AND FITNESS,PHYSICAL SPORTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),MEDIA RESOURCE LIBRARY,CLUBS AND SOCIETIES,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),RED CROSS YOUTH,UNIFORMED GROUPS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),ROBOTICS,CLUBS AND SOCIETIES,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),SHOOTING,PHYSICAL SPORTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (ATHLETICS),PHYSICAL SPORTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (WATER POLO),PHYSICAL SPORTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),TAEKWONDO,PHYSICAL SPORTS,na
BROADRICK SECONDARY SCHOOL,SECONDARY (S1-S5),TCHOUKBALL,PHYSICAL SPORTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),BOYS' BRIGADE,UNIFORMED GROUPS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),CHINESE ORCHESTRA,VISUAL AND PERFORMING ARTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),CROSS COUNTRY,PHYSICAL SPORTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),"ENGLISH LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),GIRLS' BRIGADE,UNIFORMED GROUPS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),HEALTH AND FITNESS,PHYSICAL SPORTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),MALAY DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (SEA),UNIFORMED GROUPS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),ROBOTICS,CLUBS AND SOCIETIES,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),RUGBY,PHYSICAL SPORTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),SHOOTING,PHYSICAL SPORTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE YOUTH FLYING CLUB,CLUBS AND SOCIETIES,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),SOFTBALL,PHYSICAL SPORTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (ETHNIC DANCE),VISUAL AND PERFORMING ARTS,na
BUKIT BATOK SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),ARTISTIC GYMNASTICS,PHYSICAL SPORTS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),AUDIO VISUAL AID,CLUBS AND SOCIETIES,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,DRAMA CLUB
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),ENTREPRENEURSHIP,CLUBS AND SOCIETIES,YOUNG ENTREPRENEUR CLUB
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),FLOORBALL,PHYSICAL SPORTS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,INFO. MEDIA CLUB
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),MODULAR CCA (C&S),CLUBS AND SOCIETIES,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),ROBOTICS,CLUBS AND SOCIETIES,ENGINEERING AND INNOVATION CLUB
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),SCOUTS,UNIFORMED GROUPS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),ST JOHN BRIGADE,UNIFORMED GROUPS,na
BUKIT MERAH SECONDARY SCHOOL,SECONDARY (S1-S5),TCHOUKBALL,PHYSICAL SPORTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),AUDIO VISUAL AID,CLUBS AND SOCIETIES,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),CHINESE DRAMA,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),CHINESE ORCHESTRA,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),FENCING,PHYSICAL SPORTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),FLOORBALL,PHYSICAL SPORTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),FRISBEE,PHYSICAL SPORTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),GAMELAN ENSEMBLE,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,INTERNATIONAL DANCE
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),PHYSICAL SCIENCE,CLUBS AND SOCIETIES,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),SCOUTS,UNIFORMED GROUPS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),ST JOHN BRIGADE,UNIFORMED GROUPS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,na
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY (S1-S5),VOLLEYBALL,PHYSICAL SPORTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,BRASS BAND,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,CHINESE CALLIGRAPHY AND BRUSH PAINTING,CLUBS AND SOCIETIES,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,CHINESE DRUMS,VISUAL AND PERFORMING ARTS,FESTIVE DRUMS
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,FLOORBALL,PHYSICAL SPORTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,HOCKEY,PHYSICAL SPORTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,RED CROSS YOUTH,UNIFORMED GROUPS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,TABLE TENNIS,PHYSICAL SPORTS,na
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,BOYS' BRIGADE,UNIFORMED GROUPS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,BRASS BAND,VISUAL AND PERFORMING ARTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,RUGBY,PHYSICAL SPORTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (HOUSE),OTHERS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,na
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,ANGKLUNG/KULINTANG ENSEMBLE,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,COMMUNITY SERVICE,CLUBS AND SOCIETIES,BEFRIENDERS' CLUB
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,INDIAN DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,MULTIMEDIA CLUB
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,CREATIVE MEDIA CLUB
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,RED CROSS YOUTH,UNIFORMED GROUPS,RED CROSS (LINKS)
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,STRATEGY GAMES,CLUBS AND SOCIETIES,MASS BRAIN ACTIVITIES (MBA) CLUB
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,STUDENT INITIATED ACTIVITIES (CLUBS & SOCIETIES),OTHERS,STUDENT LEADERSHIP (ENVIRONMENT CHAMPION)
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,na
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),BOYS' BRIGADE,UNIFORMED GROUPS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),CANOEING,PHYSICAL SPORTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),DIGITAL MEDIA,CLUBS AND SOCIETIES,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),FLOORBALL,PHYSICAL SPORTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),GIRLS' BRIGADE,UNIFORMED GROUPS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE YOUTH FLYING CLUB,CLUBS AND SOCIETIES,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),TABLE TENNIS,PHYSICAL SPORTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),TRACK AND FIELD,PHYSICAL SPORTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),VOLLEYBALL,PHYSICAL SPORTS,na
BUKIT VIEW SECONDARY SCHOOL,SECONDARY (S1-S5),WATER POLO,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB
CANBERRA PRIMARY SCHOOL,PRIMARY,ARTISTIC GYMNASTICS,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,CONCERT BAND,VISUAL AND PERFORMING ARTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,"ENGLISH LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,DRAMA CLUB
CANBERRA PRIMARY SCHOOL,PRIMARY,FLOORBALL,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,HOME ECONOMICS,CLUBS AND SOCIETIES,LITTLE CHEFS
CANBERRA PRIMARY SCHOOL,PRIMARY,MEDIA RESOURCE LIBRARY,CLUBS AND SOCIETIES,LIBRARY AMBASSADORS
CANBERRA PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,INTERNATIONAL DANCE
CANBERRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SCIENCE,CLUBS AND SOCIETIES,SCIENCE & ENVIRONMENTAL CLUB
CANBERRA PRIMARY SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,DIGITAL ARTISANS
CANBERRA PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,CUB SCOUTS
CANBERRA PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,SWIMMING,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,TAEKWONDO,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,na
CANBERRA PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,na
CANBERRA SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,na
CANBERRA SECONDARY SCHOOL,SECONDARY (S1-S5),BOYS' BRIGADE,UNIFORMED GROUPS,na
CANBERRA SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
CANBERRA SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
CANBERRA SECONDARY SCHOOL,SECONDARY (S1-S5),DIGITAL MEDIA,CLUBS AND SOCIETIES,na
