school_name,alp_domain,alp_title,llp_domain1,llp_title
Woodlands Ring Secondary,STEM - Future of Transportation,The Robotics Education & Enterprise (TREE),Community Youth Leadership,Student Leadership Development through Involvement in the Community
Woodlands Secondary,STEM - Health and Food Science,"Real Food, Real Science",Community Youth Leadership,Paying it Forward: WDL�s Glocal Leadership Programme
Yio Chu Kang Secondary,STEM - Emerging Technologies,To nurture inquiring minds and inventive thinkers through technology,Music & Performing Arts,"Character Development through the Arts, Media and Design"
Yishun Secondary,Aesthetics,"ALP in Sonic Arts (Music, Media & Technology)",Community Youth Leadership,"Leading with Empathy, Serving with Compassion through the Arts"
Yuan Ching Secondary,STEM - Future of Transportation,Marine Robotics,Sports & Outdoor Education,gRowing Values Through Sports and Outdoor Experiences
Yuhua Secondary,STEM - Emerging Technologies,"Coding, Design, Thinking and Robotics (CODER)",Music & Performing Arts,"M.E.L.O.D.Y. (Music Empowered Leaners, Our Dynamic Yuhuans)"
Yusof Ishak Secondary,STEM - Sustainability,STEM for the Strategic Development of a Sustainable and Smart City (S4TEM@YI),Community Youth Leadership,Nurturing Honourable Leaders for Tomorrow (YI LEAD+)
Yuying Secondary,Business & Entrepreneurship,Fostering Innovation through Design Thinking,Community Youth Leadership,"YUYING C.A.R.E.S - Collaborate, Act, Reflect, Empathise, Serve"
Zhenghua Secondary,STEM - Future of Transportation,Future of Transportation,Sports & Outdoor Education,Outdoor Education for Character & Leadership Development
Admiralty Primary ,STEM - Sustainability,Design Thinking for Sustainability (DTS @ Admiralty),Community Service & Student Leadership,High Performance Mind-set for Personal Leadership
Ahmad Ibrahim Primary,STEM - Sustainability,Sustainability Education � Nurturing Students to be Stewards of Our Environment,Community Service & Student Leadership,The 3Rs � Leader U Development programme- From Values to Action: Developing Community-based Student Leaders
Ai Tong School,Innovation & Enterprise,iDARE @ ATS,Sports & Outdoor Education,L.E.A.D.: Character and Leadership Development through Outdoor Education Programme
Alexandra Primary,STEM - Material Science,"Science, Design Technology & Design Thinking at ALPS (SDT2@ALPS)",Community Service & Student Leadership,Cultural Intelligence (CQ) ? The Code of Life
Anchor Green Primary,Interdisciplinary ,Empowering Learners to be Environmental Activists (ELEA),Music & Performing Arts,"A.G.P.S Arts (Aspire, Grow, Passion and Serve through the Arts)"
Anderson Primary,STEM  - Material Science,Eureka!,Music & Performing Arts,VIVACE! - Values Inculcation Via Arts and Creative Experiences
Angsana Primary,STEM - Sustainability,Nurturing Problem Solvers through Computational Thinking,Community Service & Student Leadership,Nurturing and Developing 21st Century Leaders through Enrichment and Lifeskills (ENL) Programmes
