school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,Vacancy,Applicant,Admission,Popularity,distprog_ICT,distprog_Interdisciplinary,distprog_Languages,distprog_STEM,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affliation_count,top_psle_score
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK   ,545166,CO-ED SCHOOL,0,0,0,42,0,100%,-,0,0,1,1,4,0,5,2,3,0,0
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,797636,CO-ED SCHOOL,0,0,0,20,15,100%,0.75,0,1,0,1,4,0,4,1,7,0,0
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,649332,CO-ED SCHOOL,0,0,0,20,20,100%,1.00,0,1,0,0,4,1,5,4,3,0,0
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1   ,739067,CO-ED SCHOOL,0,0,0,39,0,100%,-,0,0,0,1,3,1,4,1,3,0,0
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD   ,309437,GIRLS' SCHOOL,0,0,0,20,27,74.1%,1.35,0,0,1,0,4,0,5,1,8,0,1
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central   ,689762,CO-ED SCHOOL,0,0,0,20,26,76.9%,1.30,1,1,0,0,5,1,5,3,6,0,0
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link   ,544799,CO-ED SCHOOL,0,0,0,30,0,100%,-,0,1,0,0,7,4,6,1,3,0,0
ST ANDREW'S SCHOOL (JUNIOR),2 FRANCIS THOMAS DRIVE   ,359337,BOYS' SCHOOL,0,0,0,39,33,100%,0.85,0,0,0,1,0,0,0,0,0,0,0
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4   ,469701,GIRLS' SCHOOL,0,0,0,39,34,100%,0.87,0,0,0,1,2,0,11,1,4,0,0
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32   ,659401,CO-ED SCHOOL,0,0,0,0,0,0,0,0,0,0,1,5,2,5,2,4,0,0
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan   ,556742,BOYS' SCHOOL,0,0,0,33,18,100%,0.55,1,0,0,1,6,0,11,1,2,0,0
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3   ,529706,CO-ED SCHOOL,0,0,1,20,29,69%,1.45,0,0,1,0,6,1,7,2,5,0,0
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD   ,309331,BOYS' SCHOOL,0,0,0,39,77,50.6%,1.97,0,1,0,0,3,0,6,1,3,0,0
ST. MARGARET'S SCHOOL (PRIMARY),136 Sophia Road   ,228197,GIRLS' SCHOOL,0,0,0,42,15,100%,0.36,0,0,1,0,4,0,5,2,4,0,0
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW   ,455789,BOYS' SCHOOL,0,0,0,64,11,100%,0.17,0,1,0,0,4,0,6,1,2,0,0
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9   ,529565,CO-ED SCHOOL,0,0,0,44,2,100%,0.05,0,0,1,0,2,0,5,2,5,0,0
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12   ,529426,CO-ED SCHOOL,0,0,0,0,0,0,0,0,0,1,1,3,0,4,2,6,0,0
TANJONG KATONG PRIMARY SCHOOL,10 Seraya Road   ,437259,CO-ED SCHOOL,0,0,0,20,9,100%,0.45,0,0,0,0,4,0,5,1,5,0,0
TAO NAN SCHOOL,49 MARINE CRESCENT   ,449761,CO-ED SCHOOL,1,0,1,20,63,31.7%,3.15,0,0,0,1,4,0,8,4,6,0,0
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32   ,569299,CO-ED SCHOOL,0,0,0,47,3,100%,0.06,0,0,0,1,4,0,4,2,5,0,0
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK   ,688261,CO-ED SCHOOL,0,0,0,48,0,100%,-,0,0,1,0,4,1,5,1,2,0,0
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD   ,479239,CO-ED SCHOOL,0,0,0,50,0,100%,-,0,0,0,1,6,0,4,3,5,0,0
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3   ,469300,CO-ED SCHOOL,0,0,0,20,10,100%,0.50,0,0,0,1,5,0,5,2,3,0,0
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10   ,569730,CO-ED SCHOOL,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,4,0,0
WATERWAY PRIMARY SCHOOL,70 Punggol Drive   ,828802,CO-ED SCHOOL,0,0,0,20,0,100%,-,0,0,1,0,6,0,4,1,3,0,0
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,757702,CO-ED SCHOOL,0,0,0,20,21,95.2%,1.05,1,0,0,0,5,0,5,1,7,0,0
