school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score_raw,school_score,school_tier
ST. MARGARET'S SCHOOL (PRIMARY),136 Sophia Road   ,228197,GIRLS' SCHOOL,0,0,0,0.26,0.29,0.36,0.93,0.35,26,2,4,0,5,2,4,0,0,-0.18018554312303034,-0.41666180747072235,Non-Good
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR   ,149303,CO-ED SCHOOL,0,0,0,0.5,0.25,0.01,1.0,1.31,30,2,6,0,5,2,5,0,0,-0.18785306722572,-0.43439222244230874,Non-Good
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,GIRLS' SCHOOL,0,0,0,0.34,0.25,0.29,0.88,1.29,29,2,3,0,5,2,6,0,0,-0.19283500533373923,-0.4459124770688257,Non-Good
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11   ,519075,CO-ED SCHOOL,0,0,0,0.57,0.33,0.19,1.01,0.85,24,2,4,0,4,1,5,0,0,-0.1933568649043417,-0.447119227333938,Non-Good
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,CO-ED SCHOOL,0,0,0,0.61,0.54,0.01,0.57,0.73,23,2,3,0,5,2,5,0,0,-0.19344394489582306,-0.44732059147234937,Non-Good
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link,797538,CO-ED SCHOOL,0,0,0,0.62,0.6,0.04,0.89,0.64,33,2,4,0,5,1,5,0,0,-0.19462083876666858,-0.45004204580730056,Non-Good
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5   ,569878,CO-ED SCHOOL,0,0,0,0.39,0.31,0.0,0.27,0.58,23,2,3,1,4,3,7,0,0,-0.1953716021065093,-0.45177811411077823,Non-Good
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,648368,CO-ED SCHOOL,0,0,0,0.59,0.92,0.07,1.07,0.74,24,2,2,1,5,1,4,0,0,-0.1961005935116523,-0.4534638369009252,Non-Good
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link   ,544799,CO-ED SCHOOL,0,0,0,0.56,0.65,0.01,0.76,1.72,29,2,7,4,6,1,3,0,0,-0.2023441548161981,-0.4679014743113252,Non-Good
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,CO-ED SCHOOL,0,0,0,0.54,0.15,0.28,0.72,0.19,32,2,3,0,4,2,4,0,0,-0.20293514991222553,-0.4692680938560963,Non-Good
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,CO-ED SCHOOL,0,0,0,0.5,0.81,0.0,0.89,1.24,24,2,5,1,4,1,4,0,0,-0.20429044930637427,-0.47240209387320314,Non-Good
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,768611,CO-ED SCHOOL,0,0,0,0.48,0.23,0.02,0.51,1.56,22,2,4,0,5,2,7,0,0,-0.2075083421749165,-0.47984316287138845,Non-Good
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32   ,569299,CO-ED SCHOOL,0,0,0,0.51,0.23,0.1,0.73,1.08,24,2,4,0,4,2,5,0,0,-0.20902500127734475,-0.4833502917563245,Non-Good
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4   ,469701,GIRLS' SCHOOL,0,0,0,0.2,0.09,0.15,0.22,0.33,30,2,2,0,11,1,4,1,0,-0.21055138232513623,-0.48687990170859247,Non-Good
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81   ,738525,CO-ED SCHOOL,0,0,0,0.41,0.24,0.04,0.37,0.09,23,2,5,0,4,2,5,0,0,-0.21268992105247672,-0.4918250676527405,Non-Good
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12   ,529426,CO-ED SCHOOL,0,0,0,0.48,0.6,0.03,0.88,2.21,32,2,3,0,4,2,6,0,0,-0.21356116943082595,-0.4938397460658197,Non-Good
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place   ,828845,CO-ED SCHOOL,0,0,0,0.55,0.76,0.01,0.67,1.29,29,2,5,0,5,1,3,0,0,-0.2262113892071382,-0.5230921674618093,Non-Good
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,649036,CO-ED SCHOOL,0,0,0,0.43,0.23,0.01,0.39,0.25,30,2,6,1,4,1,6,0,0,-0.2282798788789483,-0.5278753516754421,Non-Good
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD   ,738240,CO-ED SCHOOL,0,0,0,0.54,0.25,0.01,0.51,0.26,21,2,4,1,4,1,6,0,0,-0.23012326799673855,-0.5321380124215703,Non-Good
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH   ,319580,CO-ED SCHOOL,0,0,0,0.39,0.21,0.04,0.89,1.21,27,2,4,0,3,3,3,0,0,-0.2393927347741288,-0.5535727663691726,Non-Good
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,CO-ED SCHOOL,0,0,0,0.58,0.16,0.03,0.71,0.95,30,2,4,0,4,1,6,0,0,-0.2428412196151583,-0.5615470572140139,Non-Good
