school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score_raw,school_score,school_tier
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,CO-ED SCHOOL,0,0,0,0.58,1.03,0.08,1.43,0.0,27,1,7,1,5,1,6,0,0,-0.04750812434244053,-0.10986411393159395,Tier 3
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk   ,828772,CO-ED SCHOOL,0,0,0,0.62,1.28,0.15,2.0,0.0,29,1,4,1,3,1,5,0,0,-0.05771705609451777,-0.13347260735569919,Tier 3
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,CO-ED SCHOOL,0,0,0,0.59,0.54,0.58,1.68,0.0,30,1,3,0,4,1,6,0,0,-0.060722266191213056,-0.14042225542161454,Tier 3
TANJONG KATONG PRIMARY SCHOOL,10 Seraya Road   ,437259,CO-ED SCHOOL,0,0,0,0.57,0.82,0.47,1.36,0.0,29,1,4,0,5,1,5,0,0,-0.0641584280809348,-0.14836849380852024,Tier 3
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21   ,529392,CO-ED SCHOOL,0,0,0,0.52,0.56,0.24,1.21,0.0,24,1,5,0,4,2,6,0,0,-0.07873959545390742,-0.18208792718317854,Tier 3
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent   ,737803,CO-ED SCHOOL,0,0,0,0.61,1.26,0.18,1.45,0.0,29,1,4,0,6,1,4,0,0,-0.07920160533218948,-0.1831563403568756,Tier 3
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,CO-ED SCHOOL,0,0,0,0.46,0.27,0.11,0.93,0.55,29,1,4,0,6,2,5,1,0,-0.07986974236908732,-0.1847014294244751,Tier 3
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,CO-ED SCHOOL,0,0,0,0.51,0.2,0.46,1.18,0.0,25,1,6,1,9,2,3,0,0,-0.0830522186837083,-0.1920610115012984,Tier 3
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4   ,769028,CO-ED SCHOOL,0,0,0,0.63,1.05,0.05,1.2,0.0,22,1,3,2,6,3,3,0,0,-0.08719098066595123,-0.20163203591546766,Tier 3
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW   ,455789,BOYS' SCHOOL,0,0,0,0.21,0.13,0.31,0.38,0.7,34,1,4,0,6,1,2,2,0,-0.09249702047618379,-0.21390242903886447,Tier 3
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,CO-ED SCHOOL,0,0,0,0.56,0.79,0.04,1.13,0.62,23,1,2,1,5,4,5,0,0,-0.09321562356481998,-0.21556422252564703,Tier 3
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE   ,545092,CO-ED SCHOOL,0,0,0,0.62,0.35,0.42,1.47,0.0,29,1,5,0,7,1,4,0,0,-0.09793174868960958,-0.22647041836471685,Tier 3
